predictor,response,len,spearman,p-value-spearman,pearson,p-value-pearson,F-statistic,p-value-chi2,what
AR,AN,1868,0.6152124010808981,5.841574909972064e-195,0.7107543775819343,2.190208336972055e-287,925.4933168813732,1.986218843039746e-193,9.0
AR,AD,1843,0.46948469019580197,1.1396801162257195e-101,0.5935307681039771,7.55531417004893e-176,632.9667288083884,1.751536897517466e-130,9.0
AR,AC,1592,0.37129414045621006,3.268718267094156e-53,0.417852703952005,2.67146872964529e-68,311.5530935009793,1.7559352818626122e-59,12.0
AR,AE,1874,0.52551990077685,1.4578664553108713e-133,0.6641437939521289,9.065061715407004e-239,821.6854306359705,3.696385289075608e-168,12.0
AR,AQ,1884,0.6680945349384625,6.662595031536861e-244,0.7538313094604856,0.0,1145.8570529588803,5.8974774707687173e-241,9.0
AR,AG,1904,0.46635912918716316,2.000736025158124e-103,0.546760643393607,6.805954747981428e-149,557.7828903624753,1.083445369801903e-111,12.0
AR,AH,1888,0.6381679577205905,1.866217467127658e-216,0.7038311027857769,2.0574906200486777e-282,878.6155340366336,2.2422493971460616e-180,12.0
AR,AI,1897,0.4862167972309127,3.8665212426497396e-113,0.5247741463221249,9.829729974913542e-135,590.1324316835622,1.35576232743976e-118,12.0
AR,AL,1890,0.5310779981899132,4.949740001490897e-138,0.5356593256242346,7.774327068605614e-141,603.6498942224271,1.7616338403967025e-121,12.0
AR,AK,1869,0.7788327923080045,0.0,0.8183987434851592,0.0,2048.3659183181353,0.0,12.0
AR,AM,1903,0.5577569973232177,4.865977186475894e-156,0.5786594123976592,1.5368465091297804e-170,703.0285862435147,9.908769851600975e-143,12.0
AR,AF,1889,0.43453984444964877,7.492594812903437e-88,0.4854042635131419,3.026475040338713e-112,420.859063334694,1.4399938270471186e-82,12.0
AR,AP,1783,0.35749437030554815,6.906627840877512e-55,0.45228460613656746,1.289563923128105e-90,351.9166715364952,2.422317589332242e-70,9.0
AR,AS,1906,0.6044936073089378,2.832498822248368e-190,0.7167230665513815,2.2191560856216973e-300,871.9730016365166,6.752619901191046e-182,9.0
AR,AT,1894,0.5061619339954251,9.037814475533157e-124,0.6214010796051315,9.632624473849147e-203,630.275856212018,6.626431499710191e-130,9.0
AR,AW,1870,0.4982179083687268,6.859077258793917e-118,0.5429920156039245,6.781723073706832e-144,506.03265074341857,1.1523934893185687e-100,12.0
AR,AY,1890,0.46934018824041107,3.8157592193588534e-104,0.5218814080726155,1.566103768766611e-132,467.5707239293166,1.7480773333559785e-92,12.0
AR,AV,1910,0.34630174196349645,6.1988900649522294e-55,0.3739992412770716,1.8149571887880978e-64,428.46094199007746,3.5182018027372462e-84,12.0
AR,RA,135,0.4464381351071806,5.7257942825845904e-08,0.4389594251252459,1.0058731158027684e-07,56.00637410183111,7.827408986373554e-09,9.0
AR,RN,135,0.4680266001150962,1.0413761235089653e-08,0.47004023675529305,8.829079283037836e-09,26.101356155440907,0.00021316768936440128,6.0
AR,RD,133,0.48239759632710005,4.109955404558941e-09,0.542765240240997,1.4897856425632025e-11,64.91298110659733,1.500057382888893e-10,9.0
AR,RC,111,0.2795464826816188,0.0029650179055323088,0.2284430642772272,0.015885694591024267,55.41904731647393,1.0132905572263527e-08,9.0
AR,RE,134,0.38962484113712365,3.2679129781568344e-06,0.3744154913605249,8.319962587611051e-06,55.57535916238498,9.46042330158016e-09,9.0
AR,RQ,135,0.34230209458527305,4.830821023794095e-05,0.31058777947367044,0.00024613874583619236,50.29656883947851,9.47378837928938e-08,9.0
AR,RG,134,0.5413026583361346,1.4495176180283152e-11,0.5546126549198427,3.57757888325331e-12,57.62749957076493,3.8314781846696945e-09,9.0
AR,RH,134,0.42163501366986234,3.9025685104500573e-07,0.34526381812939644,4.395559206265097e-05,64.67047657632726,1.672095512662367e-10,9.0
AR,RI,136,-0.08148849064667764,0.34562519270943515,-0.05301664580428429,0.5398766637776927,18.774165095935434,0.02718307974075668,9.0
