predictor,response,len,spearman,p-value-spearman,pearson,p-value-pearson,F-statistic,p-value-chi2,what
AR,AN,326,0.5619175790377564,1.5793458036231921e-28,0.622045008968479,2.6662968765136162e-36,161.64996040296907,3.372102052967451e-30,9.0
AR,AD,307,0.40931322090302263,7.874807186591178e-14,0.5431452005382921,5.880450457270794e-25,92.97390932858926,4.113368883216638e-16,9.0
AR,AC,345,0.031061110683513696,0.5653051987981436,0.07711661315419058,0.15291564249357162,68.6940840093012,5.617244166217905e-10,12.0
AR,AE,315,0.4611169191751334,5.45934013165163e-18,0.5714000478249661,1.0693411670954886e-28,130.42906036053014,9.678798555299738e-24,9.0
AR,AQ,327,0.5698169266470765,1.5182276294282113e-29,0.5648552670566982,5.901631506588166e-29,134.93636614476077,1.1426626373473052e-24,9.0
AR,AG,339,0.4184918977316275,8.332021880636686e-16,0.4184259938099031,8.427712407653716e-16,111.09154507393868,8.813292216505134e-20,9.0
AR,AH,324,0.5968766898344117,1.1792261203729627e-32,0.6492106315672168,3.693164595464399e-40,161.57133697919954,2.5124639439079657e-28,12.0
AR,AI,354,0.24761447919531976,2.4052229670541286e-06,0.3198262897483892,7.333613469364537e-10,45.02614606818337,1.0199258377035752e-05,12.0
AR,AL,355,0.31378325729815115,1.497658116410406e-09,0.2853624622103705,4.453146308045791e-08,98.69176602884674,1.0040949150445754e-15,12.0
AR,AK,324,0.665113331447092,9.640786475372342e-43,0.7114024256131901,2.95853755158334e-51,361.0881291002385,2.7012198230907905e-72,9.0
AR,AM,355,0.4139465796083454,3.95743833383473e-16,0.35130306643889886,9.484549490430604e-12,68.4319004867903,6.286595172364815e-10,12.0
AR,AF,346,0.37395022683178053,6.322101756452675e-13,0.33736579578799303,1.1751782665733275e-10,73.8587315823969,6.034661184006875e-11,12.0
AR,AP,306,0.024791283335299053,0.6657691232265884,0.22318985779847936,8.21508775858595e-05,74.28157050812908,2.1903835107853857e-12,9.0
AR,AS,348,0.3976058041317536,1.2506965787523208e-14,0.3147244133122745,1.9344667164905474e-09,68.01566676631641,1.0428943489441238e-12,6.0
AR,AT,326,0.25368639226993556,3.501993277091992e-06,0.33031802716081693,9.741594299135251e-10,60.72642953829997,9.710483440685903e-10,9.0
